period,resource,usage,capacity,slack
1,11,0.0,0,0.0
2,11,0.0,0,0.0
3,11,0.0,0,0.0
4,11,0.0,0,0.0
1,12,0.0,0,0.0
2,12,0.0,0,0.0
3,12,0.0,0,0.0
4,12,0.0,0,0.0
1,13,5.0,5,0.0
2,13,5.0,5,0.0
3,13,5.0,5,0.0
4,13,5.0,5,0.0
1,14,0.0,0,0.0
2,14,0.0,0,0.0
3,14,0.0,0,0.0
4,14,0.0,0,0.0
1,15,0.0,0,0.0
2,15,0.0,0,0.0
3,15,0.0,0,0.0
4,15,0.0,0,0.0
1,16,5.0,5,0.0
2,16,5.0,5,0.0
3,16,5.0,5,0.0
4,16,5.0,5,0.0
1,17,5.0,5,0.0
2,17,5.0,5,0.0
3,17,5.0,5,0.0
4,17,5.0,5,0.0
1,18,0.0,0,0.0
2,18,0.0,0,0.0
3,18,0.0,0,0.0
4,18,0.0,0,0.0
1,19,10.0,10,0.0
2,19,10.0,10,0.0
3,19,10.0,10,0.0
4,19,10.0,10,0.0
1,20,11.0,11,0.0
2,20,11.0,11,0.0
3,20,11.0,11,0.0
4,20,11.0,11,0.0
1,21,0.0,0,0.0
2,21,0.0,0,0.0
3,21,0.0,0,0.0
4,21,0.0,0,0.0
1,22,6.0,6,0.0
2,22,6.0,6,0.0
3,22,6.0,6,0.0
4,22,6.0,6,0.0
1,23,0,0,0
2,23,0,0,0
3,23,0,0,0
4,23,0,0,0
1,24,5.0,6,1.0
2,24,6.0,6,0.0
3,24,6.0,6,0.0
4,24,6.0,6,0.0
1,25,5.0,5,0.0
2,25,5.0,5,0.0
3,25,5.0,5,0.0
4,25,5.0,5,0.0
